State/UnionTerritory,Confirmed,Deaths,Cured,Active,CFR,Recovery_Rate,Active_Rate
Maharashtra,6363442,134201,6159676,69565,2.1089372701126217,96.79786505479268,1.093197675094705
Kerala,3586693,18004,3396184,172505,0.5019665747807242,94.68844977811037,4.80958364710891
Karnataka,2921049,36848,2861499,22702,1.2614646313704425,97.96134881681205,0.7771865518175148
Tamil Nadu,2579130,34367,2524400,20363,1.3325035961739036,97.8779666011407,0.7895298026854017
Andhra Pradesh,1985182,13564,1952736,18882,0.6832622903088986,98.3655906612089,0.9511470484822047
Uttar Pradesh,1708812,22775,1685492,545,1.3327972884085553,98.63530920897091,0.03189350262053403
West Bengal,1534999,18252,1506532,10215,1.1890561492222471,98.14547110454144,0.6654727462363168
Delhi,1436852,25068,1411280,504,1.744647326238193,98.2202759922386,0.035076681523218814
Chhattisgarh,1003356,13544,988189,1623,1.3498698368276065,98.4883730201444,0.16175714302799804
Odisha,988997,6565,972710,9722,0.6638038335808906,98.3531800399799,0.9830161264392105
